區別,學校名稱,學校代碼,區分,學區範圍/里別,校址,電話及傳真
松山區,介壽國中,313501,松山區,"1.介壽、東榮、東昌、東勢、龍田、精忠。
2.復勢：中崙、介壽共同學區
3.中華（20、23-25鄰）：介壽、敦化共同學區。",松山區延壽街401號,"TEL:27674496
FAX:27660952"
松山區,民生國中,313502,松山區,三民、莊敬、富錦、富泰、新東、新益。,松山區新東街30巷1號,"TEL:27653433
FAX:27602519"
松山區,西松高中國中部,313301,松山區,"1.安平、自強、鵬程。
2.東光、吉祥、新聚復盛：中崙、西松共同學區。",松山區健康路325巷7號,"TEL:25286618
FAX:27670337"
松山區,敦化國中,313505,松山區,"1.中華（1-19、21、22鄰）、中正、中崙、吉仁、美仁、福成、敦化、復源、松基（13、15-16鄰）。
2.復建：中崙、敦化共同學區。
3.中華（20、23-25鄰）：介壽、敦化共同學區。",松山區南京東路3段300號,"TEL:87717890
FAX:27739420"
松山區,中山國中,313504,中山區,江山、江寧、龍洲。,松山區復興北路361巷7號,"TEL:27126701
FAX:27180954"
松山區,中山國中,313504,松山區,"1.民有、松基（1-12、14鄰）。
2.民福（22-25鄰）：中山、五常共同學區。",松山區復興北路361巷7號,"TEL:27126701
FAX:27180954"
松山區,中崙高中國中部,313302,松山區,"1.復建：中崙、敦化共同學區。
2.復勢：中崙、介壽共同學區。
3.東光、吉祥、新聚、復盛：中崙、西松共同學區。",松山區八德路4段101號,"TEL:27535316
FAX:27534598"
信義區,永吉國中,323503,信義區,四育、四維、五常、永吉、永春、雅祥、五全、長春。,信義區松隆路161號。,"TEL:27649066
FAX:27671163"
信義區,永吉國中,323503,松山區,慈祐。,信義區松隆路161號。,"TEL:27649066
FAX:27671163"
信義區,興雅國中,323502,信義區,"1.敦厚、六藝、興雅、興隆、新仁、安康、富台、松友、國業、廣居、松隆（7-12鄰）。
2.松隆（1-6鄰）：興雅、?公共同學區。
3.西村：興雅、仁愛共同學區。",信義區松德路168巷15號。,"TEL:27232771
FAX:27220432"
信義區,興雅國中,323502,大安區,1.正聲、華聲：興雅、懷生、仁愛共同學區。,信義區松德路168巷15號。,"TEL:27232771
FAX:27220432"
信義區,?公國中,323504,信義區,"1.大道、中坡、中行、大仁、松光。
2.松隆（1-6鄰）興雅、?公共同學區。",信義區福德街221巷15號。,"TEL:27261481
FAX:27281331"
信義區,?公國中,323504,南港區,"1.百福、萬福（6-8、18-19鄰）、成福（17-27、30鄰）、仁福。
2.鴻福：?公、成德共同學區。",信義區福德街221巷15號。,"TEL:27261481
FAX:27281331"
信義區,信義國中,323505,信義區,"1.雙和、泰和、六合、惠安、嘉興、中興（1-8鄰）、景新、景勤、三張、三犁、景聯。
2.中興（9-14鄰）：信義、仁愛共同學區。
3.黎順、黎安、黎忠、黎平(14-24鄰)：芳和、信義共同學區。
4.黎和、黎孝、芳和(1、2、7-18鄰)：芳和、信義、和平共同學區。",信義區松仁路158巷1號。,"TEL:27236771
FAX:27255330"
大安區,大安國中,333502,大安區,"1.住安、義安、通安（4-20鄰）、通化(5-23鄰)、群英、群賢、龍陣、龍雲、龍圖（7-20鄰）、全安（1-4鄰）。
2.全安（5-17鄰）：大安、和平共同學區。
3.臨江、法治：大安、和平共同學區。
4.龍生：龍門、金華、大安共同學區。
5.通化(1-4鄰)：大安、仁愛共同學區。",大安區大安路2段63號。,"TEL:27557131
FAX:27541459"
大安區,仁愛國中,333501,大安區,"1.建安、敦安、德安、敦煌、建倫、光信、車層、仁愛（11-23鄰）、通安（1-3鄰）。
2.正聲、華聲：興雅、懷生、仁愛共同學區。
3.仁愛（1-10鄰）、光武：懷生、仁愛共同學區。
4.通化(1-4鄰)：大安、仁愛共同學區。",大安區仁愛路4段130號。,"TEL:23255823
FAX:27541409"
大安區,仁愛國中,333501,信義區,"1.正和。
2.西村：興雅、仁愛共同學區。
3.中興（9-14鄰）：信義、仁愛共同學區。",大安區仁愛路4段130號。,"TEL:23255823
FAX:27541409"
大安區,懷生國中,333506,中正區,"1.梅花（1、4-15鄰）、幸市、幸福﹝9-19鄰﹞、文北（17-27鄰）。
2.梅花（2-3鄰）：懷生、建成共同學區。
3.文北（1-16鄰）：懷生、弘道及中正國中共同學區。",大安區忠孝東路3段248巷30號。,"TEL:27215078
FAX:27815061"
大安區,懷生國中,333506,中山區,埤頭：懷生、長安共同學區。,大安區忠孝東路3段248巷30號。,"TEL:27215078
FAX:27815061"
大安區,懷生國中,333506,大安區,"1.誠安、民輝、昌隆、義村、民炤（1、18-24鄰）。
2.正聲、華聲：興雅、懷生、仁愛共同學區。
3.仁愛（1-10鄰）、光武：懷生、仁愛共同學區。",大安區忠孝東路3段248巷30號。,"TEL:27215078
FAX:27815061"
大安區,和平高中國中部,333301,大安區,"1.虎嘯、臥龍（1-4鄰）、芳和（3-5、19-21鄰）。
2.臥龍（5-8鄰）：龍門、和平共同學區。
3.全安（5-17鄰）、法治、臨江：大安、和平共同學區。
4.龍淵：龍門、和平、金華、民族共同學區。
5.黎元、芳和（6鄰）：芳和、和平共同學區。
6.黎和、黎孝、芳和(1、2、7-18鄰)：芳和、信義、和平共同學區。
7.學府：(1-5、16、17鄰)和平、民族共同學區
8.學府：(6-15鄰)民族、芳和、和平共同學區",大安區臥龍街100號。,"TEL:27324300
FAX:27325308"
大安區,和平高中國中部,333301,信義區,黎平（1-13鄰）。,大安區臥龍街100號。,"TEL:27324300
FAX:27325308"
大安區,金華國中,333505,大安區,"1.永康、福住、龍安、錦安、龍圖（1-6鄰）、民炤（2-17鄰）。
2.龍坡：龍門、金華、民族共同學區。
3.龍泉：金華、民族、龍門共同學區。
4.古風、古莊：金華、民族、螢橋共同學區。
5.龍淵：龍門、和平、金華、民族共同學區。
6.新龍：龍門、金華共同學區。
7.龍生：龍門、金華、大安共同學區。",大安區新生南路2段32號。,"TEL:33931799
FAX:33931780"
大安區,金華國中,333505,中正區,三愛。,大安區新生南路2段32號。,"TEL:33931799
FAX:33931780"
大安區,芳和實驗國中,333504,大安區,"1.黎元、芳和（6鄰）：芳和、和平共同學區。
2.黎和、黎孝、芳和（1、2、7-18鄰）：芳和、信義和平共同學區。
3.學府（6-15鄰）：芳和、民族、和平共同學區。",大安區臥龍街170號。,"TEL:27321961
FAX:27339859"
大安區,芳和實驗國中,333504,信義區,黎安、黎忠、黎平（14-24鄰）、黎順：芳和、信義共同學區。,大安區臥龍街170號。,"TEL:27321961
FAX:27339859"
大安區,龍門國中,33350,大安區,"1.龍門。
2.龍坡：龍門、金華、民族共同學區。
3.龍生：龍門、金華、大安共同學區。
4.新龍：龍門、金華共同學區。
5.大學：龍門、民族共同學區。
6.臥龍（5-8鄰）：龍門、和平共同學區。
7.龍淵：龍門、金華、和平、民族共同學區。
8.龍泉：金華、民族、龍門共同學區。",大安區建國南路2段269號,"TEL:27330299
FAX:87328163"
大安區,民族實驗國中,333507,中正區,"1.水源：民族、螢橋共同學區
2.文盛（5-10鄰）：民族、螢橋共同學區
3.富水（1-5鄰）民族、螢橋共同學區",大安區羅斯福路4段113巷13號。,"TEL:27322935
FAX:27325408"
大安區,民族實驗國中,333507,文山區,"1.萬年里：民族、興福、景興共同學區。
2.萬和（1-8鄰）：民族、景興共同學區。
3.萬盛里：民族、興福、景興共同學區。",大安區羅斯福路4段113巷13號。,"TEL:27322935
FAX:27325408"
